,precision,recall,f1-score,support,accuracy
0,0.8225377107364685,0.8956521739130435,0.8575393154486587,1035.0,0.7814052519517388
1,0.6170212765957447,0.46524064171123,0.5304878048780488,374.0,0.7814052519517388
accuracy,0.7814052519517388,0.7814052519517388,0.7814052519517388,0.7814052519517388,0.7814052519517388
macro avg,0.7197794936661066,0.6804464078121367,0.6940135601633537,1409.0,0.7814052519517388
weighted avg,0.7679861519226782,0.7814052519517388,0.7707279137783904,1409.0,0.7814052519517388
